State,Year,Quarter,H_idx
CA,1984,1,119.49
CA,1984,2,120.12
CA,1984,3,121.7
CA,1984,4,122.79
CA,1985,1,124.51
CA,1985,2,126.31
CA,1985,3,129.17
CA,1985,4,130.58
CA,1986,1,132.26
CA,1986,2,134.81
CA,1986,3,137.76
CA,1986,4,141.11
CA,1987,1,144.73
CA,1987,2,148.29
CA,1987,3,152.95
CA,1987,4,157.26
CA,1988,1,163.04
CA,1988,2,169.74
CA,1988,3,177.8
CA,1988,4,187.53
CA,1989,1,196.32
CA,1989,2,205.97
CA,1989,3,217.88
CA,1989,4,224.72
CA,1990,1,227.49
CA,1990,2,228.22
CA,1990,3,230.16
CA,1990,4,228.62
CA,1991,1,228.54
CA,1991,2,227.13
CA,1991,3,227.13
CA,1991,4,228.8
CA,1992,1,227.59
CA,1992,2,225.23
CA,1992,3,224.79
CA,1992,4,222.7
CA,1993,1,219.25
CA,1993,2,217.37
CA,1993,3,215.52
CA,1993,4,214.25
CA,1994,1,212.13
CA,1994,2,206.98
CA,1994,3,203.93
CA,1994,4,201.04
CA,1995,1,199.71
CA,1995,2,201.61
CA,1995,3,203.95
CA,1995,4,203.63
CA,1996,1,203.6
CA,1996,2,201.0
CA,1996,3,200.63
CA,1996,4,201.68
CA,1997,1,202.62
CA,1997,2,204.67
CA,1997,3,208.71
CA,1997,4,212.36
CA,1998,1,216.99
CA,1998,2,221.73
CA,1998,3,227.59
CA,1998,4,231.98
CA,1999,1,235.47
CA,1999,2,239.48
CA,1999,3,244.97
CA,1999,4,250.17
CA,2000,1,261.05
CA,2000,2,268.07
CA,2000,3,277.06
CA,2000,4,285.63
CA,2001,1,296.67
CA,2001,2,305.75
CA,2001,3,312.17
CA,2001,4,316.56
CA,2002,1,325.02
CA,2002,2,336.05
CA,2002,3,348.7
CA,2002,4,358.9
CA,2003,1,367.18
CA,2003,2,374.07
CA,2003,3,386.75
CA,2003,4,411.48
CA,2004,1,424.75
CA,2004,2,451.36
CA,2004,3,497.23
CA,2004,4,516.35
CA,2005,1,538.92
CA,2005,2,570.49
CA,2005,3,598.99
CA,2005,4,625.72
CA,2006,1,638.7
CA,2006,2,644.56
CA,2006,3,646.66
CA,2006,4,642.91
CA,2007,1,634.15
CA,2007,2,623.51
CA,2007,3,600.22
CA,2007,4,575.75
CA,2008,1,543.46
CA,2008,2,498.58
CA,2008,3,460.74
CA,2008,4,444.87
CA,2009,1,440.87
CA,2009,2,420.76
CA,2009,3,411.47
CA,2009,4,412.78
CA,2010,1,409.75
CA,2010,2,408.53
CA,2010,3,410.77
CA,2010,4,406.25
CA,2011,1,391.74
CA,2011,2,385.46
CA,2011,3,387.06
CA,2011,4,385.88
CA,2012,1,381.59
CA,2012,2,382.23
CA,2012,3,391.15
CA,2012,4,399.47
CA,2013,1,407.89
CA,2013,2,426.62
CA,2013,3,447.62
CA,2013,4,462.47
CA,2014,1,472.1
CA,2014,2,484.88
CA,2014,3,495.02
CA,2014,4,500.63
CA,2015,1,505.86
CA,2015,2,517.22
CA,2015,3,530.4
CA,2015,4,537.72
CA,2016,1,544.76
CA,2016,2,554.4
CA,2016,3,566.54
CA,2016,4,573.37
CA,2017,1,579.34
CA,2017,2,591.37
CA,2017,3,603.12
CA,2017,4,611.78
CA,2018,1,622.23
CA,2018,2,634.09
CA,2018,3,642.1
CA,2018,4,642.02
CA,2019,1,646.14
CA,2019,2,652.73
CA,2019,3,659.62
CA,2019,4,663.9
CA,2020,1,670.15
CA,2020,2,677.82
CA,2020,3,685.75
CA,2020,4,699.88
CA,2021,1,719.43
CA,2021,2,762.19
CA,2021,3,801.78
CA,2021,4,834.33
CA,2022,1,868.78
CA,2022,2,924.12
CA,2022,3,918.64
CA,2022,4,897.36
CO,1975,1,54.16
CO,1975,2,54.86
CO,1975,3,54.77
CO,1975,4,54.98
CO,1976,1,55.01
CO,1976,2,59.83
CO,1976,3,59.59
CO,1976,4,62.09
CO,1977,1,64.98
CO,1977,2,65.51
CO,1977,3,68.99
CO,1977,4,72.95
CO,1978,1,76.06
CO,1978,2,79.96
CO,1978,3,84.03
CO,1978,4,87.36
CO,1979,1,91.7
CO,1979,2,94.46
CO,1979,3,97.47
CO,1979,4,99.33
CO,1980,1,100.0
CO,1980,2,102.26
CO,1980,3,107.14
CO,1980,4,106.63
CO,1981,1,106.5
CO,1981,2,108.56
CO,1981,3,114.49
CO,1981,4,110.36
CO,1982,1,119.6
CO,1982,2,120.7
CO,1982,3,122.49
CO,1982,4,126.4
CO,1983,1,126.16
CO,1983,2,125.13
CO,1983,3,126.31
CO,1983,4,121.94
CO,1984,1,126.14
CO,1984,2,125.45
CO,1984,3,125.69
CO,1984,4,123.39
CO,1985,1,126.31
CO,1985,2,125.47
CO,1985,3,126.51
